month,borough,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2016-08,Queens,EXP,All,Peak,"17,120,918","212,325,919.2",12.4015499169
2016-08,Queens,LCL/LTD,All,Off-Peak,"435,263,476","4,028,743,303.2",9.25587265034
2016-08,Queens,LCL/LTD,All,Peak,"233,931,287","1,985,711,778",8.48844035984
2016-08,Queens,SBS,All,Off-Peak,"21,711,064","218,998,238.4",10.0869417731
2016-08,Queens,SBS,All,Peak,"9,225,633","84,478,960.8",9.15698259404
2016-08,Staten Island,EXP,All,Off-Peak,"33,873,740","562,942,760.4",16.6188546172
2016-08,Staten Island,EXP,All,Peak,"31,908,462","483,357,063.6",15.1482407269
2016-08,Staten Island,LCL/LTD,All,Off-Peak,"57,359,196","690,801,840",12.0434365921
2016-08,Staten Island,LCL/LTD,All,Peak,"31,094,808","367,978,489.2",11.8340814068
2016-08,Staten Island,SBS,All,Off-Peak,"9,779,636","151,353,162",15.4763594473
2016-08,Staten Island,SBS,All,Peak,"5,960,081","92,241,669.6",15.4765798653
2016-09,Bronx,EXP,All,Off-Peak,"28,931,876","341,709,289.2",11.8108237848
2016-09,Bronx,EXP,All,Peak,"22,803,132","227,364,609.6",9.97076233212
2016-09,Bronx,LCL/LTD,All,Off-Peak,"245,513,752","1,728,342,435.6",7.03969704964
2016-09,Bronx,LCL/LTD,All,Peak,"130,049,004","827,229,049.2",6.36090261176
2016-09,Bronx,SBS,All,Off-Peak,"15,582,506","145,134,356.4",9.31392912026
2016-09,Bronx,SBS,All,Peak,"8,601,593","73,127,372.4",8.5016080626
2016-09,Brooklyn,EXP,All,Off-Peak,"10,581,578","127,374,346.8",12.0373678482
2016-09,Brooklyn,EXP,All,Peak,"10,234,903","115,468,315.2",11.2818182253
2016-09,Brooklyn,LCL/LTD,All,Off-Peak,"402,349,250","2,851,180,455.6",7.08633222406
2016-09,Brooklyn,LCL/LTD,All,Peak,"206,263,904","1,279,194,159.6",6.20173542143
2016-09,Brooklyn,SBS,All,Off-Peak,"20,105,612","177,308,726.4",8.81886740876
2016-09,Brooklyn,SBS,All,Peak,"13,993,396","115,849,101.6",8.27884107618
2016-09,Manhattan,LCL/LTD,All,Off-Peak,"185,705,713","1,048,775,194.8",5.64751174241
2016-09,Manhattan,LCL/LTD,All,Peak,"96,032,902","491,959,630.8",5.12282374639
2016-09,Manhattan,SBS,All,Off-Peak,"27,548,824","215,532,486",7.82365468668
2016-09,Manhattan,SBS,All,Peak,"13,606,700","92,039,108.4",6.76424911257
2016-09,Queens,EXP,All,Off-Peak,"7,469,686","100,326,841.2",13.4311992766
2016-09,Queens,EXP,All,Peak,"13,560,412","158,303,264.4",11.6739273409
2016-09,Queens,LCL/LTD,All,Off-Peak,"424,889,767","3,842,733,855.6",9.0440724961
2016-09,Queens,LCL/LTD,All,Peak,"230,727,016","1,854,971,431.2",8.03968023927
2016-09,Queens,SBS,All,Off-Peak,"20,227,866","202,635,763.2",10.0176540224
2016-09,Queens,SBS,All,Peak,"7,983,699","70,481,970",8.8282348821
2016-09,Staten Island,EXP,All,Off-Peak,"31,562,774","490,021,905.6",15.5253117359
